Title,Rating,Votes,Duration,Genre
Mahavatar Narsimha,9.2,31000,2.166666667,Action
Freaky Tales,6.3,11000,1.783333333,Action
Gladiator II,6.5,269000,2.466666667,Action
William Tell,5.7,4600,2.233333333,Action
Dune: Part Two,8.5,658000,2.766666667,Action
The Ministry of Ungentlemanly Warfare,6.8,143000,2.033333333,Action
Kingdom of the Planet of the Apes,6.8,159000,2.416666667,Action
Deadpool & Wolverine,7.5,521000,2.133333333,Action
Furiosa: A Mad Max Saga,7.5,298000,2.466666667,Action
Twisters,6.5,182000,2.033333333,Action
Relay,7.2,605,1.866666667,Action
Carry-On,6.5,177000,1.983333333,Action
Kraven the Hunter,5.5,70000,2.116666667,Action
River of Blood,4.8,2400,1.433333333,Action
Civil War,7,249000,1.816666667,Action
Rebel Ridge,6.8,94000,2.183333333,Action
The Beekeeper,6.3,166000,1.75,Action
The Fall Guy,6.8,233000,2.1,Action
Sonic the Hedgehog 3,6.9,70000,1.833333333,Action
The Count of Monte-Cristo,7.6,40000,2.966666667,Action
Venom: The Last Dance,6,137000,1.833333333,Action
Monkey Man,6.8,95000,2.016666667,Action
Road House,6.2,173000,2.016666667,Action
40 Acres,6.5,3200,1.883333333,Action
Abigail,6.5,103000,1.816666667,Action
Fight or Flight,6.4,18000,1.7,Action
The Unholy Trinity,5.5,3000,1.583333333,Action
Drive-Away Dolls,5.4,25000,1.4,Action
Madame Web,4.1,106000,1.933333333,Action
Land of Bad,6.6,54000,1.883333333,Action
Bad Boys: Ride or Die,6.5,105000,1.916666667,Action
Godzilla x Kong: The New Empire,6,127000,1.916666667,Action
Transformers One,7.6,57000,1.733333333,Action
Red One,6.3,145000,2.05,Action
Borderlands,4.7,52000,1.683333333,Action
Maharaja,8.4,73000,2.35,Action
The Prosecutor,6.5,3100,1.95,Action
Argylle,5.6,95000,2.316666667,Action
The Union,5.4,55000,1.783333333,Action
Elevation,5.6,26000,1.516666667,Action
The Crow,4.7,38000,1.85,Action
The Lord of the Rings: The War of the Rohirrim,6.3,35000,2.233333333,Action
Dirty Angels,4.5,4800,1.733333333,Action
Damsel,6.1,113000,1.833333333,Action
Beverly Hills Cop: Axel F,6.4,84000,1.966666667,Action
Kung Fu Panda 4,6.3,73000,1.566666667,Action
Old Guy,5.2,3900,1.566666667,Action
Vettaiyan,6.9,40000,2.716666667,Action
Hellboy: The Crooked Man,4.5,15000,1.65,Action
The Instigators,6.2,40000,1.683333333,Action
The Killer,5.7,15000,2.1,Action
Weekend in Taipei,5.7,5800,1.666666667,Action
Attack on Titan the Movie: The Last Attack,9.2,19000,2.416666667,Action
Kalki 2898 AD,7,70000,3,Action
Weapon,5.6,6500,2,Action
Jackpot!,5.8,32000,1.766666667,Action
Long Gone Heroes,5.1,1500,1.683333333,Action
Homestead,5.2,4500,1.866666667,Action
Megamind vs. The Doom Syndicate,2.5,5900,1.383333333,Action
Pushpa: The Rule - Part 2,6.1,60000,3.35,Action
Uglies,4.7,35000,1.666666667,Action
Azrael,5.3,13000,1.433333333,Action
Boneyard,4.1,5400,1.6,Action
Apocalypse Z: The Beginning of the End,6.1,22000,1.95,Action
Blitz,6.2,17000,2,Action
The Killer's Game,5.8,19000,1.733333333,Action
Brothers,5.4,14000,1.483333333,Action
Thelma,7,25000,1.633333333,Action
Viduthalai Part 2,7.7,17000,2.833333333,Action
Cloud,6.4,2300,2.066666667,Action
Watchmen: Chapter I,7.1,7400,1.383333333,Action
Atlas,5.6,57000,1.966666667,Action
Martin,2.2,36000,2.45,Action
Role Play,5.5,20000,1.666666667,Action
Arcadian,5.5,25000,1.533333333,Action
