Title,Rating,Votes,Duration
1. William Tell,5.7, (4.6K),2h 14m
2. Saturday Night,6.9, (35K),1h 49m
3. I'm Still Here,8.2, (118K),2h 17m
4. September 5,7.1, (29K),1h 35m
5. Small Things Like These,6.7, (29K),1h 38m
6. The Apprentice,7.1, (63K),2h 2m
7. Harvest,6.0, (924),2h 13m
8. The Girl with the Needle,7.5, (16K),2h 3m
9. The Return,6.2, (11K),1h 56m
10. Queer,6.4, (25K),2h 17m
11. The Six Triple Eight,6.7, (29K),2h 7m
12. Blitz,6.2, (17K),2h
13. Joy,7.1, (10K),1h 55m
14. The Devil's Bath,6.6, (7.1K),2h 1m
15. Unfrosted,5.5, (36K),1h 37m
16. Reagan,6.1, (12K),2h 21m
17. Vermiglio,6.9, (5.5K),1h 59m
18. The Children's Train,7.4, (8.4K),1h 46m
19. Apocalypse in the Tropics,7.6, (1.7K),1h 50m
20. Bonhoeffer: Pastor. Spy. Assassin.,6.2, (4.1K),2h 13m
21. Uprising,6.6, (6.2K),2h 6m
22. Intoxicated by Love,8.5, (14K),1h 58m
23. Chandu Champion,7.8, (35K),2h 22m
24. Bibi Rajni,8.5, (752),2h 23m
25. Grand Tour,6.5, (2.3K),2h 9m
26. Harbin,6.2, (1.1K),1h 48m
27. 11 Rebels,6.2, (882),2h 35m
28. Being Maria,6.1, (920),1h 40m
29. Maidaan,7.9, (23K),3h 1m
30. Quisling: The Final Days,7.1, (1.4K),2h 26m
31. Saint-Exupéry,5.4, (671),1h 38m
32. Maharaj,6.5, (15K),2h 11m
33. No Chains No Masters,6.3, (719),1h 38m
34. In the Fire of War,6.7, (296),1h 55m
"35. Love, Courage and the Battle of Bushy Run",5.0, (201),1h 53m
36. The Great Lillian Hall,7.3, (2.2K),1h 50m
37. Bir Cumhuriyet Sarkisi,7.4, (1.5K),2h 8m
38. Escape from Germany,5.4, (1.1K),1h 37m
39. Goebbels and the Führer,6.7, (2.8K),2h 15m
"40. From Hilde, with Love",6.9, (1.3K),2h 5m
41. Waves,7.8, (2.1K),2h 11m
42. Kingdom 4: Return of the Great General,7.2, (1.5K),2h 25m
43. Before Dawn,5.4, (1.2K),1h 41m
44. Gloria!,6.5, (1.1K),1h 46m
45. Golden Kamuy,6.3, (2.7K),2h 7m
46. Six Days in August,4.9, (175),2h
47. The Flood,6.4, (387),1h 41m
48. Witch,4.9, (1.4K),1h 47m
49. Atomic People,8.3, (176),1h 30m
50. In Her Place,6.3, (7.2K),1h 36m
51. Battlefield,6.2, (735),1h 44m
52. The New Year That Never Came,8.1, (5.7K),2h 18m
53. Shirley,6.2, (3.4K),1h 57m
54. Apollo 13: Survival,7.4, (2.6K),1h 38m
55. Ei koskaan yksin,7.0, (503),1h 25m
56. The Kingdom,7.0, (160),2h 13m
57. Limonov: The Ballad of Eddie,5.9, (1.2K),2h 18m
58. Meeting with Pol Pot,6.4, (525),1h 52m
59. Liza: A Truly Terrific Absolutely True Story,7.5, (562),1h 44m
