Title,Rating,Votes,Duration
1. Alien: Romulus,7.1, (261K),1h 59m
2. Nosferatu,7.2, (227K),2h 12m
3. The Substance,7.2, (332K),2h 21m
4. Heretic,7.0, (181K),1h 51m
5. Longlegs,6.6, (200K),1h 41m
6. Witchboard,5.7, (362),1h 52m
7. Beetlejuice Beetlejuice,6.6, (159K),1h 45m
8. Speak No Evil,6.8, (117K),1h 50m
9. River of Blood,4.8, (2.4K),1h 26m
10. Smile 2,6.7, (121K),2h 7m
11. Trap,5.8, (149K),1h 45m
12. Presence,6.1, (34K),1h 24m
13. The A-Frame,6.1, (69),1h 22m
14. Went Up the Hill,6.4, (178),1h 40m
15. Oddity,6.7, (49K),1h 38m
16. Abigail,6.5, (103K),1h 49m
17. MaXXXine,6.2, (77K),1h 43m
18. Terrifier 3,6.3, (54K),2h 5m
19. Kinds of Kindness,6.5, (63K),2h 44m
20. A Quiet Place: Day One,6.3, (159K),1h 39m
21. Animale,5.9, (385),1h 38m
22. Jimmy and Stiggs,6.1, (218),1h 19m
23. The Watchers,5.7, (60K),1h 42m
24. The Damned,5.7, (6.3K),1h 29m
25. Strange Harvest,6.6, (401),1h 34m
26. Immaculate,5.8, (56K),1h 29m
27. Get Away,5.3, (8.8K),1h 26m
28. Apartment 7A,5.9, (18K),1h 47m
29. Salem's Lot,5.6, (37K),1h 54m
30. Shelby Oaks,5.4, (353),1h 39m
31. Don't Move,5.8, (42K),1h 32m
32. The Crow,4.7, (38K),1h 51m
33. Night Swim,4.7, (29K),1h 38m
34. Y2K,4.8, (17K),1h 31m
35. Cuckoo,5.7, (30K),1h 42m
36. The Rule of Jenny Pen,6.2, (7.6K),1h 44m
37. Monster Island,5.2, (1.2K),1h 23m
38. The Deliverance,5.1, (24K),1h 52m
40. Hellboy: The Crooked Man,4.5, (15K),1h 39m
41. Traumatika,5.9, (74),1h 27m
42. The First Omen,6.5, (67K),1h 59m
43. The Shrouds,5.8, (5.6K),2h
44. The Master and Margarita,7.1, (5.4K),2h 36m
45. Nightbitch,5.5, (22K),1h 39m
46. Tarot,4.8, (34K),1h 32m
47. Munjya,6.3, (27K),2h 3m
48. The Strangers: Chapter 1,4.6, (24K),1h 31m
49. Exhuma,6.9, (25K),2h 14m
50. MadS,6.4, (9.6K),1h 29m
51. Mononoke the Movie: The Phantom in the Rain,6.7, (1.5K),1h 29m
52. Azrael,5.3, (13K),1h 26m
53. Apocalypse Z: The Beginning of the End,6.1, (22K),1h 57m
54. In a Violent Nature,5.6, (28K),1h 34m
55. A Sacrifice,5.0, (6K),1h 34m
56. Time Cut,5.0, (21K),1h 31m
57. Cloud,6.4, (2.3K),2h 4m
58. Never Let Go,5.4, (17K),1h 41m
