Title,Rating,Votes,Duration
1. Mahavatar Narsimha,9.2, (31K),2h 10m
2. Freaky Tales,6.3, (11K),1h 47m
3. Gladiator II,6.5, (269K),2h 28m
4. William Tell,5.7, (4.6K),2h 14m
5. Dune: Part Two,8.5, (658K),2h 46m
6. The Ministry of Ungentlemanly Warfare,6.8, (143K),2h 2m
7. Kingdom of the Planet of the Apes,6.8, (159K),2h 25m
8. Deadpool & Wolverine,7.5, (521K),2h 8m
9. Furiosa: A Mad Max Saga,7.5, (298K),2h 28m
10. Twisters,6.5, (182K),2h 2m
11. Relay,7.2,-605,1h 52m
12. Carry-On,6.5, (177K),1h 59m
13. Kraven the Hunter,5.5, (70K),2h 7m
14. River of Blood,4.8, (2.4K),1h 26m
15. Civil War,7, (249K),1h 49m
16. Rebel Ridge,6.8, (94K),2h 11m
17. The Beekeeper,6.3, (166K),1h 45m
18. The Fall Guy,6.8, (233K),2h 6m
19. Sonic the Hedgehog 3,6.9, (70K),1h 50m
20. The Count of Monte-Cristo,7.6, (40K),2h 58m
21. Venom: The Last Dance,6, (137K),1h 50m
22. Monkey Man,6.8, (95K),2h 1m
23. Road House,6.2, (173K),2h 1m
24. 40 Acres,6.5, (3.2K),1h 53m
25. Abigail,6.5, (103K),1h 49m
26. Fight or Flight,6.4, (18K),1h 42m
27. The Unholy Trinity,5.5, (3K),1h 35m
28. Drive-Away Dolls,5.4, (25K),1h 24m
29. Madame Web,4.1, (106K),1h 56m
30. Land of Bad,6.6, (54K),1h 53m
31. Bad Boys: Ride or Die,6.5, (105K),1h 55m
32. Godzilla x Kong: The New Empire,6, (127K),1h 55m
33. Transformers One,7.6, (57K),1h 44m
34. Red One,6.3, (145K),2h 3m
35. Borderlands,4.7, (52K),1h 41m
36. Maharaja,8.4, (73K),2h 21m
37. The Prosecutor,6.5, (3.1K),1h 57m
38. Argylle,5.6, (95K),2h 19m
39. The Union,5.4, (55K),1h 47m
40. Elevation,5.6, (26K),1h 31m
41. The Crow,4.7, (38K),1h 51m
42. The Lord of the Rings: The War of the Rohirrim,6.3, (35K),2h 14m
43. Dirty Angels,4.5, (4.8K),1h 44m
44. Damsel,6.1, (113K),1h 50m
45. Beverly Hills Cop: Axel F,6.4, (84K),1h 58m
