Title,Rating,Votes,Duration
1. Freaky Tales,6.3, (11K),1h 47m
2. Sketch,7.2, (1.6K),1h 33m
3. Gladiator II,6.5, (269K),2h 28m
4. Dune: Part Two,8.5, (658K),2h 46m
5. Kingdom of the Planet of the Apes,6.8, (159K),2h 25m
6. Deadpool & Wolverine,7.5, (521K),2h 8m
7. Furiosa: A Mad Max Saga,7.5, (298K),2h 28m
8. Twisters,6.5, (182K),2h 2m
9. The Wild Robot,8.2, (193K),1h 42m
10. Kraven the Hunter,5.5, (70K),2h 7m
11. River of Blood,4.8, (2.4K),1h 26m
12. Flow,7.9, (91K),1h 25m
13. Sonic the Hedgehog 3,6.9, (70K),1h 50m
14. The Count of Monte-Cristo,7.6, (40K),2h 58m
15. Venom: The Last Dance,6.0, (137K),1h 50m
16. Moana 2,6.5, (115K),1h 40m
17. The Unholy Trinity,5.5, (3K),1h 35m
18. Mufasa: The Lion King,6.6, (75K),1h 58m
19. Bad Boys: Ride or Die,6.5, (105K),1h 55m
20. Godzilla x Kong: The New Empire,6.0, (127K),1h 55m
21. Transformers One,7.6, (57K),1h 44m
22. Inside Out 2,7.5, (229K),1h 36m
23. Paddington in Peru,6.6, (28K),1h 46m
24. Red One,6.3, (145K),2h 3m
25. The Return,6.2, (11K),1h 56m
26. Borderlands,4.7, (52K),1h 41m
27. Despicable Me 4,6.2, (71K),1h 34m
28. Ghostbusters: Frozen Empire,6.1, (97K),1h 55m
29. The Lord of the Rings: The War of the Rohirrim,6.3, (35K),2h 14m
30. Monster Summer,5.7, (5.2K),1h 37m
31. Damsel,6.1, (113K),1h 50m
32. Spaceman,5.7, (45K),1h 47m
33. Kung Fu Panda 4,6.3, (73K),1h 34m
34. Attack on Titan the Movie: The Last Attack,9.2, (19K),2h 25m
35. Kalki 2898 AD,7.0, (70K),3h
36. Megamind vs. The Doom Syndicate,2.5, (5.9K),1h 23m
37. Uglies,4.7, (35K),1h 40m
38. My Penguin Friend,6.8, (6K),1h 37m
39. Arthur the King,7.0, (36K),1h 47m
40. Atlas,5.6, (57K),1h 58m
41. The Garfield Movie,5.7, (26K),1h 41m
42. Wallace & Gromit: Vengeance Most Fowl,7.5, (37K),1h 22m
43. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (7.1K),1h 31m
44. Solo Leveling: ReAwakening,8.8, (15K),2h 1m
45. Survive,4.6, (3.7K),1h 30m
46. Descendants: The Rise of Red,4.7, (7.6K),1h 31m
47. Harold and the Purple Crayon,5.7, (9.2K),1h 30m
48. Manjummel Boys,8.2, (29K),2h 15m
49. Rebel Moon - Part Two: The Scargiver,5.3, (61K),2h 2m
50. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (9.2K),1h 44m
51. Spellbound,5.5, (8.2K),1h 49m
52. Orion and the Dark,6.3, (18K),1h 33m
53. The Goat Life,7.1, (49K),2h 53m
54. Operation: Raqqa,5.6, (339),1h 47m
55. Lost on a Mountain in Maine,6.1, (2.2K),1h 38m
56. Please Don't Feed the Children,4.8, (720),1h 34m
57. No Way Up,4.6, (11K),1h 30m
58. The Traveller,5.2, (243),2h 14m
59. Justice League: Crisis on Infinite Earths - Part One,6.2, (9.1K),1h 33m
60. Sasquatch Sunset,5.4, (5.8K),1h 28m
61. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.7K),1h 55m
62. Cells at Work!,6.7, (1.1K),1h 49m
63. Bookworm,6.0, (2.3K),1h 43m
64. The Last Redemption,6.9, (6.5K),2h 2m
65. That Christmas,6.8, (17K),1h 31m
66. Family Pack,5.5, (10K),1h 34m
67. Sunlight,6.4, (189),1h 36m
68. Something in the Water,4.1, (5.3K),1h 26m
69. Winner,6.5, (2.9K),1h 43m
