Title,Rating,Votes,Duration
1. Mahavatar Narsimha,9.2, (31K),2h 10m
2. The Wild Robot,8.2, (193K),1h 42m
3. Flow,7.9, (91K),1h 25m
4. Moana 2,6.5, (115K),1h 40m
5. Mufasa: The Lion King,6.6, (75K),1h 58m
6. Transformers One,7.6, (57K),1h 44m
7. Inside Out 2,7.5, (229K),1h 36m
8. IF,6.4, (61K),1h 44m
9. Despicable Me 4,6.2, (71K),1h 34m
10. Spermageddon,5.4, (1.7K),1h 20m
11. The Lord of the Rings: The War of the Rohirrim,6.3, (35K),2h 14m
12. Kung Fu Panda 4,6.3, (73K),1h 34m
13. Memoir of a Snail,7.8, (21K),1h 35m
14. Attack on Titan the Movie: The Last Attack,9.2, (19K),2h 25m
15. Mars,6.8, (34),1h 24m
16. Megamind vs. The Doom Syndicate,2.5, (5.9K),1h 23m
17. Mononoke the Movie: The Phantom in the Rain,6.7, (1.5K),1h 29m
18. Watchmen: Chapter I,7.1, (7.4K),1h 23m
19. The Garfield Movie,5.7, (26K),1h 41m
20. Wallace & Gromit: Vengeance Most Fowl,7.5, (37K),1h 22m
21. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (7.1K),1h 31m
22. Solo Leveling: ReAwakening,8.8, (15K),2h 1m
23. Boys Go to Jupiter,7.0, (167),1h 30m
24. Harold and the Purple Crayon,5.7, (9.2K),1h 30m
25. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (9.2K),1h 44m
26. The Remarkable Life of Ibelin,8.2, (13K),1h 43m
27. Look Back,7.8, (17K),58m
28. I Am What I Am 2,7.6, (500),2h 14m
29. Spellbound,5.5, (8.2K),1h 49m
30. Orion and the Dark,6.3, (18K),1h 33m
31. Watchmen: Chapter II,7.1, (3.8K),1h 30m
32. The Glassworker,7.2, (2.1K),1h 38m
33. Haikyu!! The Dumpster Battle,7.7, (6.8K),1h 25m
34. Justice League: Crisis on Infinite Earths - Part One,6.2, (9.1K),1h 33m
35. Dan Da Dan: First Encounter,8.2, (3.2K),1h 23m
36. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.7K),1h 55m
37. The Colors Within,7.1, (1.3K),1h 41m
38. That Christmas,6.8, (17K),1h 31m
39. Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (249),1h 48m
40. Dragonkeeper,5.7, (1.9K),1h 38m
41. Ultraman: Rising,6.9, (6.9K),1h 57m
42. Crayon Shin-chan: Our Dinosaur Diary,6.6, (668),1h 46m
43. White Snake: Afloat,6.9, (634),2h 13m
44. Piece by Piece,6.9, (6.7K),1h 33m
45. The Most Precious of Cargoes,7.1, (1.7K),1h 21m
46. Justice League: Crisis on Infinite Earths - Part Three,6.1, (5.1K),1h 34m
47. Buffalo Kids,6.6, (834),1h 33m
48. Overlord: The Sacred Kingdom,6.9, (1.6K),2h 15m
49. Blue Lock: Episode Nagi,6.6, (2.8K),1h 31m
50. Grand Theft Hamlet,6.9, (2.3K),1h 29m
51. Hitpig,5.2, (1.1K),1h 26m
52. My Hero Academia: You're Next,6.9, (2.8K),1h 50m
53. Night of the Zoopocalypse,6.0, (1.1K),1h 31m
54. Noah's Ark,4.2, (718),1h 36m
55. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, (1.4K),1h 30m
56. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4.2K),1h 22m
57. Justice League: Crisis on Infinite Earths - Part Two,5.6, (5.9K),1h 34m
58. Detective Conan: The Million-Dollar Pentagram,6.7, (1.7K),1h 51m
59. Big City Greens the Movie: Spacecation,6.2, (623),1h 23m
60. Gracie and Pedro: Pets to the Rescue,5.0, (300),1h 27m
61. 10 Lives,6.0, (2.2K),1h 28m
62. My Freaky Family,6.1, (437),1h 26m
63. Super-Charlie,5.7, (219),1h 22m
64. Le parfum d'Irak,7.9, (54),1h 35m
65. Frida,7.5, (1.6K),1h 27m
66. Diplodocus,6.2, (217),1h 33m
67. My Oni Girl,6.0, (2K),1h 52m
68. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.0, (56),1h 30m
69. Sanatorium Under the Sign of the Hourglass,5.4, (143),1h 15m
70. Storm Crashers,6.1, (608),1h 28m
71. Out of the Nest,6.5, (144),1h 24m
72. Thelma the Unicorn,5.7, (3.1K),1h 33m
73. (S)KiDS,8.2, (164),1h 25m
74. Trapezium,6.2, (180),1h 35m
75. Lesbian Space Princess,7.1, (243),1h 27m
76. Johnny Puff: Secret Mission,4.8, (490),1h 27m
77. The Tiger's Apprentice,5.8, (2.3K),1h 24m
78. The Night Before Christmas in Wonderland,6.3, (532),1h 20m
79. Ryan's World the Movie: Titan Universe Adventure,1.8, (760),1h 20m
80. Woody Woodpecker Goes to Camp,4.5, (2.7K),1h 40m
81. 200% Wolf,5.9, (1.4K),1h 38m
82. Hola Frida,6.9, (69),1h 22m
83. Savages,6.8, (502),1h 27m
84. A Sloth Story,5.6, (289),1h 30m
85. Baki Hanma VS Kengan Ashura,5.7, (2.1K),1h 2m
86. Given 3: To the Sea,7.6, (206),1h 20m
87. Si Juki the Movie: Harta Pulau Monyet,6.1, (144),1h 47m
88. No Time to Spy: A Loud House Movie,6.4, (527),1h 21m
89. Exorcism Chronicles: The Beginning,6.4, (147),1h 25m
90. Panda Bear in Africa,5.5, (395),1h 24m
91. Rebellious,6.1, (251),1h 34m
92. Dalia and the Red Book,5.9, (176),1h 47m
93. Mobile Suit Gundam SEED Freedom,6.6, (1K),2h 4m
94. Angelo dans la forêt mystérieuse,6.1, (150),1h 21m
95. Rafadan Tayfa: Kapadokya,6.5, (150),1h 24m
96. Ghost Cat Anzu,6.6, (913),1h 37m
97. The Quintessential Quintuplets Specials 2,6.8, (200),46m
98. From Ground Zero,7.9, (590),1h 52m
99. Double Tuckerr,5.2, (1.5K),2h
"100. Die Heinzels: Neue Mützen, Neue Mission",6.0, (114),1h 16m
101. Kvitebjørn,5.8, (93),1h 25m
102. Into the Mortal World,7.0, (257),1h 58m
103. Boonie Bears: Time Twist,5.9, (186),1h 45m
104. My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7, (11),55m
105. Elli and Her Monster Team,4.8, (117),1h 26m
106. Dongeng Sang Kancil,6.6, (234),1h 39m
107. Inanimate Insanity II: The Movie,8.3, (269),1h 46m
108. The Lost Tiger,7.3, (65),1h 30m
109. Little Emma,5.3, (149),1h 46m
110. The Casagrandes Movie,5.6, (716),1h 29m
